,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time
0,0,741101310,Dady330,2012-08-06 17:51:34,5,266,110,...,0.0,0.1,1.1666666666666667,582.2,0.2333333333333333,22092,0.0,2019-04-23 01:25:12
1,30,4199050153,donynyn1,2015-11-11 07:31:22,0,4,24,0,0.0,0.06666666666666668,0.3333333333333333,598.1666666666666,0.26666666666666666,8,0.0,2019-04-23 01:25:12
2,38,318355178,CurrentSocials,2011-06-16 10:52:41,153,2499,86,"√α. в૯α૮ђ, √¡૨g¡ท¡α",1.0666666666666669,1.9,0.9,0.7,0.0,1207477,0.0,2019-04-23 01:25:12
3,68,255981466,haramlaflame,2011-02-22 12:18:33,8,3178,420,Lyon,0.06666666666666668,0.6666666666666666,1.0666666666666669,3025.866666666667,0.0,153838,0.0,2019-04-23 01:25:12
4,98,57891760,_JamesShu,2009-07-18 08:46:59,0,417,459,0,0.1,0.6333333333333333,1.1666666666666667,26192.46666666667,0.26666666666666666,32808,0.0,2019-04-23 01:25:12
5,128,121161437,basiljh,2010-03-08 16:27:32,1,625,1255,?,0.0,0.36666666666666653,1.1666666666666667,27.0,0.6,21523,0.0,2019-04-23 01:25:12
6,158,264156917,Raima_Ouattara,2011-03-11 12:41:30,114,2261,685,"Ottawa, Ontario",0.13333333333333333,0.16666666666666666,0.5333333333333333,1309.8333333333333,0.26666666666666666,47265,0.0,2019-04-23 01:25:12
7,188,890029615183515648,arroba_551,2017-07-26 02:02:51,135,256,253,loading...,0.06666666666666668,0.3333333333333333,0.8666666666666667,91.36666666666666,0.4,2798,0.0,2019-04-23 01:25:12
8,218,2747771731,samanthaaajae,2014-08-20 02:26:16,0,648,634,0,0.0,0.6,1.0666666666666669,19073.466666666667,0.0,14041,0.0,2019-04-23 01:25:12
9,248,919118066289606656,RioNextDoor,2017-10-14 08:29:58,81,119,106,Narnia,0.0,0.36666666666666653,0.5,3027.1,0.6666666666666666,1284,0.0,2019-04-23 01:25:12
10,278,2578845920,eudoguinha,2014-06-20 15:26:22,1,99180,6011,0,0.0,0.6,1.0,520.7666666666668,0.0,101,0.0,2019-04-23 01:25:12
11,308,1098685431263186944,cxnhoto777,2019-02-21 20:46:34,48,216,347,Cachoeiro de itapemirim,0.0,0.3333333333333333,0.5,106.6,0.43333333333333335,817,0.0,2019-04-23 01:25:12
12,338,1427210558,FreebandFlav4,2013-05-14 07:09:55,41,3735,4244,0,0.0,0.13333333333333333,0.5333333333333333,1480.7666666666669,0.3,53760,0.0,2019-04-23 01:25:12
13,368,119110146,oluwamisegun,2010-03-02 18:10:09,0,1223,989,0,0.5,0.3,1.1666666666666667,1517.1333333333334,0.03333333333333333,44280,0.0,2019-04-23 01:25:12
14,398,325798209,CallMeKi__,2011-06-28 21:56:44,20,705,883,The City ,0.0,0.16666666666666666,0.8333333333333334,2083.2,0.0,42330,0.0,2019-04-23 01:25:12
15,428,339341066,CLeonard46,2011-07-20 23:29:42,87,322,331,"Portland,  OR",0.0,0.43333333333333335,1.9666666666666663,198.2,1.4666666666666666,7645,0.0,2019-04-23 01:25:12
16,458,2725461374,ONEeJuice,2014-08-12 05:08:46,158,5061,3572,"If I offend you, it’s because I was hacked. Closed/Sold",0.6333333333333333,0.2333333333333333,1.9,1597.033333333333,0.03333333333333333,21534,0.0,2019-04-23 01:25:12
17,488,467415986,KatlyGold,2012-01-18 13:00:21,114,1693,1057,Botswana,0.03333333333333333,0.8666666666666667,0.3333333333333333,60.16666666666666,0.26666666666666666,34151,0.0,2019-04-23 01:25:12
18,518,1332651679,mia_sansone,2013-04-06 22:43:06,20,1080,775,loz ,0.13333333333333333,0.4,0.8666666666666667,10539.733333333334,2.9,21395,0.0,2019-04-23 01:25:12
19,548,1112387508984258560,thcxns,2019-03-31 16:13:44,21,77,50,0,0.1,0.6,1.0,1058.9333333333334,0.03333333333333333,1232,0.0,2019-04-23 01:25:12
20,578,927236700929224705,slctiio,2017-11-05 18:10:31,30,19572,17256,0,0.03333333333333333,0.6333333333333333,1.0333333333333334,2215.9,0.06666666666666668,12302,0.0,2019-04-23 01:25:12
21,608,2808918622,mariesimspon95,2014-10-05 19:24:13,77,246,487,0,0.7666666666666667,0.6,1.2,139201.86666666667,0.06666666666666668,5980,0.0,2019-04-23 01:25:12
22,638,1110530215497920512,vanitascrimes,2019-03-26 13:13:30,67,180,358,0,0.06666666666666668,0.43333333333333335,0.9666666666666668,286.73333333333335,0.4,2696,0.0,2019-04-23 01:25:12
23,668,1072123455863209984,Jip8659,2018-12-10 13:38:45,154,493,482,"Aux confins de l'espace, et +",0.1,0.2,0.9666666666666668,16.866666666666667,1.7,4319,0.0,2019-04-23 01:25:12
24,698,1061371770739974144,insimricky,2018-11-10 21:35:24,0,6,39,"Washington, USA",0.2,1.0,0.1,0.0,0.0,274,0.0,2019-04-23 01:25:12
25,728,2315141761,XiggyMatsu,2014-01-28 08:38:47,159,685,950,"South Blue (DFW), Texas",0.3,0.7,0.7,7698.266666666666,0.4,104468,0.0,2019-04-23 01:25:12
26,758,1152287743,apk_share,2013-02-05 22:52:33,53,205,230,0,1.8333333333333333,1.0,0.0,0.0,0.06666666666666668,112675,0.0,2019-04-23 01:25:12
27,788,1536163975,HogardJacques,2013-06-21 09:33:55,160,2418,1264,"Ile-de-France, France",0.7,0.4,1.0,359.63333333333327,0.6333333333333333,13762,0.0,2019-04-23 01:25:12
28,818,451003296,Mark_Kawada,2011-12-30 22:48:36,54,1265,3197,where I am,0.0,0.2,1.0666666666666669,125.76666666666668,0.03333333333333333,271272,0.0,2019-04-23 01:25:12
29,848,860077297117876224,raina_kinser,2017-05-04 10:23:01,8,14,44,"Kentucky, USA",0.13333333333333333,0.5333333333333333,1.0,3550.4666666666667,0.1,53,0.0,2019-04-23 01:25:12
30,878,2587907966,ehiludido,2014-06-25 17:31:11,37,42422,353,"Quirinópolis, Brasil",0.0,0.13333333333333333,0.3333333333333333,157.83333333333334,64.5,115616,0.0,2019-04-23 01:25:12
31,898,997256328744587265,DriftersPsyche,2018-05-17 23:23:31,154,18,197,Canada,0.1,0.5666666666666667,1.2666666666666666,0.1,2.0,1774,0.0,2019-04-23 01:25:12
32,928,952292054003941377,gracexreec,2018-01-13 21:31:33,15,249,261,"Arizona, USA",0.0,0.6,1.0666666666666669,15673.3,0.0,5172,0.0,2019-04-23 01:25:12
33,958,100206419,akhilgupta_me,2009-12-29 11:51:36,0,120,118,0,0.2333333333333333,0.4,1.1,2114.5,0.2,814,0.0,2019-04-23 01:25:12
34,988,956644353983868933,vascogsb,2018-01-25 21:46:02,15,351,764,Portugal,0.0,0.4,0.9,5149.866666666667,0.13333333333333333,4776,0.0,2019-04-23 01:25:12
35,1018,739159369028403200,nomis6259,2016-06-04 18:18:21,0,229,789,0,0.0,0.7,1.0333333333333334,7968.133333333332,0.0,22743,0.0,2019-04-23 01:25:12
36,1048,939817122913574914,nenetteemk,2017-12-10 11:20:37,5,855,423,"Dijon, France",0.0,0.7,0.9333333333333332,6602.766666666666,0.0,30689,0.0,2019-04-23 01:25:12
37,1078,987048591968620545,Gorgioussdf,2018-04-19 19:21:37,72,545,73,youtube :,0.0,0.5666666666666667,0.7333333333333333,298.53333333333336,0.6666666666666666,5384,0.0,2019-04-23 01:25:12
38,1108,241346916,Rich65k,2011-01-22 01:45:26,35,358,632,Oklahoma,0.9333333333333332,1.3333333333333333,0.5,1.2333333333333334,6.9,524,0.0,2019-04-23 01:25:12
39,1138,898013484876804097,braykxo,2017-08-17 02:47:53,35,50,130,"Knoxville, TN",0.0,0.2333333333333333,1.0,45097.76666666667,0.0,1520,0.0,2019-04-23 01:25:12
40,1168,1005830645975691265,kayansub,2018-06-10 15:14:48,24,34,141,0,2.2,1.0,1.3333333333333333,197.86666666666667,0.0,2199,0.0,2019-04-23 01:25:12
41,1198,2405066607,Brianketer5,2014-03-12 15:16:32,25,388,491,Kenya,0.03333333333333333,0.7,0.4666666666666667,46.6,0.1,812,0.0,2019-04-23 01:25:12
42,1228,1097059909231878145,blease_no,2019-02-17 09:07:19,136,4,51,0,0.26666666666666666,0.7333333333333333,1.0333333333333334,3623.5333333333333,0.0,1668,0.0,2019-04-23 01:25:12
43,0,1119864633110794240,Murat41222943,2019-04-21 07:25:09,139,17,761,İstanbul Beylikdüzü ,0.0,0.9666666666666668,0.8666666666666667,0.0,0.4666666666666667,207,1.0,2019-04-23 01:25:12
44,30,1099556638401486849,Ar1_sa3,2019-02-24 06:28:26,7,96,111,0,0.4666666666666667,0.5333333333333333,0.0,0.0,1.2,139,1.0,2019-04-23 01:25:12
45,60,978987895301263360,Stew45641594,2018-03-28 13:31:17,0,61,671,"Miami, FL/jamaica ",1.1,0.8333333333333334,1.1333333333333333,196.9333333333333,0.0,1090,1.0,2019-04-23 01:25:12
46,90,1066182466669547520,fakesmilesonly,2018-11-24 04:11:23,47,15612,5799,0,0.0,0.3333333333333333,0.3,2376.2,7666.333333333332,205,1.0,2019-04-23 01:25:12
47,120,1049690686465949696,BhonestTo,2018-10-09 15:58:56,160,2380,3719,Canton Ohio,0.4,0.5333333333333333,1.2666666666666666,985.4333333333333,0.0,5485,1.0,2019-04-23 01:25:12
48,150,980500880,Ahmedsayedzz,2012-11-30 13:48:54,35,915,2834,"Cairo, Egypt",0.1,0.8666666666666667,1.0,16810.866666666665,0.03333333333333333,11375,1.0,2019-04-23 01:25:12
49,180,731528022076104706,Bezean56,2016-05-14 16:54:06,160,487,902,"Newcastle Upon Tyne, England",0.0,0.16666666666666666,2.2666666666666666,682.4,0.16666666666666666,4677,1.0,2019-04-23 01:25:12
50,210,2215677526,jamieisthegirl,2013-12-09 12:25:25,34,143,226,0,0.0,0.6,0.9333333333333332,20129.933333333334,0.0,11312,1.0,2019-04-23 01:25:12
51,240,969769260619849729,Al_2705,2018-03-03 02:59:43,0,208,20,0,0.0,2.0,0.0,0.0,0.0,10663,1.0,2019-04-23 01:25:12
52,270,128137409,_dedeew,2010-03-31 06:01:54,73,405,103,Indonesia,0.06666666666666668,0.5,0.9,2268.6,0.0,74552,1.0,2019-04-23 01:25:12
53,300,3299703555,LALIftThe100,2015-05-26 21:04:43,30,607,571,Italia,0.26666666666666666,0.3333333333333333,0.9333333333333332,2003.8,0.13333333333333333,42394,1.0,2019-04-23 01:25:12
54,330,926270599206449153,KingDeagleIV,2017-11-03 02:11:34,130,505,1014,"New York, USA",0.0,0.5333333333333333,0.9666666666666668,4100.233333333334,0.16666666666666666,27987,1.0,2019-04-23 01:25:12
55,360,1055696622,Giovannini8,2013-01-02 17:56:31,0,1755,2130,0,0.8333333333333334,1.7666666666666666,3.6,138.73333333333332,0.0,150696,1.0,2019-04-23 01:25:12
56,390,15944583,wheelofchange,2008-08-22 13:22:08,94,2450,5001,BUROKLOTARIJE,0.06666666666666668,0.8,0.36666666666666653,84.73333333333333,0.1,82106,1.0,2019-04-23 01:25:12
