,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
0,0,0,613357772,THChennai,2012-06-20 11:24:09,145,62144,297.0,"Chennai, India",0.4666666666666667,0.26666666666666666,1.1666666666666667,9.7,11.7,21157,0,2019-04-23 14:45:45,298.0,2498.14,8.469101011152297,0.34,8.411245791245792
1,1,30,284920800,news18dotcom,2011-04-20 06:14:32,75,109825,161.0,India,0.6,0.9333333333333332,0.3333333333333333,5.366666666666666,6.366666666666666,78784,0,2019-04-23 14:45:45,162.0,2925.355011574074,26.931432146968014,0.72,18.169906904186796
2,2,60,1943418931,polimernews,2013-10-07 08:07:03,102,237690,156.0,Chennai,2.3,1.0,0.0,1.7,10.966666666666667,85765,0,2019-04-23 14:45:45,157.0,2024.276875,42.368216057400744,0.36,12.976133814102564
3,3,90,740815249524285440,MalaimurasuTv,2016-06-09 07:58:13,0,7449,323.0,"Chennai, India",0.0,1.0,0.9,0.0,0.13333333333333333,38658,0,2019-04-23 14:45:45,324.0,1048.2830092592592,36.8774459363952,5.19,3.2454582330008024
4,4,120,777850687338057729,newsglitzcom,2016-09-19 12:43:50,0,1271,1022.0,0,1.8333333333333333,1.9,1.4,0.4,0.7666666666666667,2482,0,2019-04-23 14:45:45,1023.0,946.0846643518519,2.623443856053179,1.95,0.9257188496593463
5,5,150,1591105346,tangedconews,2013-07-13 14:12:22,0,989,118.0,Tirupur,0.0,0.4666666666666667,0.0,0.0,0.2333333333333333,2100,0,2019-04-23 14:45:45,119.0,2110.0231828703704,0.9952497285566619,2.12,17.88155239720653
7,7,210,4087953322,Arappor,2015-11-01 06:03:50,23,6727,120.0,"Chennai, India",0.7333333333333333,0.9,0.5333333333333333,8.566666666666666,12.366666666666667,2173,0,2019-04-23 14:45:45,121.0,1269.3624421296297,1.7118830114071464,0.32,10.578020351080248
8,8,240,1073676020,IndiaTodayFLASH,2013-01-09 12:46:38,62,1105348,118.0,0,1.0,0.4666666666666667,1.3666666666666667,10.4,0.0,210880,0,2019-04-23 14:45:45,119.0,2295.0827199074074,91.88339843738082,0.19,19.449853558537352
9,9,270,57279305,NatarajIPS,2009-07-16 08:20:11,159,2686,49.0,Chennai,0.16666666666666666,0.6333333333333333,0.2,8.1,1.6666666666666667,548,0,2019-04-23 14:45:45,50.0,3568.2677546296295,0.15357591909659818,0.2,72.82179091080877
10,10,300,28995530,vikatan,2009-04-05 14:32:22,23,535237,13.0,"Tamilnadu, India",1.4666666666666666,0.9666666666666668,0.03333333333333333,8.3,28.9,116135,0,2019-04-23 14:45:45,14.0,3670.0092939814813,31.64433403219224,0.22,282.3084072293447
11,11,330,922665429578870785,fx16pix,2017-10-24 03:25:55,126,2257,627.0,"Chennai, India",0.7666666666666667,1.0333333333333334,1.4666666666666666,5.5,34.5,6712,0,2019-04-23 14:45:45,628.0,546.4721064814814,12.28242012792917,2.97,0.8715663580246913
12,12,360,4889819537,deccanchennai,2016-02-08 21:13:08,151,520,87.0,"Chennai, India",1.1,0.5666666666666667,2.566666666666667,1.9,0.0,1725,0,2019-04-23 14:45:45,88.0,1169.7309837962962,1.4746980492913075,3.32,13.445183721796507
13,13,390,19519947,DeccanChronicle,2009-01-26 04:16:09,91,63043,187.0,India,1.0666666666666669,0.9,0.2,0.7,1.7666666666666666,297998,0,2019-04-23 14:45:45,188.0,3739.4372222222223,79.69060109609482,4.73,19.996990493166965
14,14,420,245687754,PTI_News,2011-02-01 07:31:18,35,1931329,1.0,"New Delhi, India",0.1,0.3,0.13333333333333333,100.03333333333332,297.3,56116,0,2019-04-23 14:45:45,2.0,3003.301701388889,18.684769490207703,0.03,3003.301701388889
15,15,450,442782547,BBCIndia,2011-12-21 13:19:34,91,131942,343.0,India,0.3,0.8333333333333334,0.43333333333333335,254.23333333333332,17.133333333333333,16040,0,2019-04-23 14:45:45,344.0,2680.059849537037,5.9849409716618105,0.12,7.813585567163373
16,16,470,442782547,BBCIndia,2011-12-21 13:19:34,91,131943,343.0,India,0.3,0.8333333333333334,0.43333333333333335,254.23333333333332,17.133333333333333,16040,0,2019-04-23 14:45:45,344.0,2680.059849537037,5.9849409716618105,0.12,7.813585567163373
17,17,480,241069726,tamil_murasu,2011-01-21 11:33:05,61,1731,23.0,Chennai,0.0,1.6666666666666667,0.0,0.1,0.2333333333333333,780,0,2019-04-23 14:45:45,24.0,3014.133796296296,0.25878081489230753,0.45,131.0492954911433
18,18,510,1704625526,TamilTheHindu,2013-08-27 12:52:42,15,366005,8.0,"Chennai, Tamil Nadu, India",1.8333333333333333,1.1,0.06666666666666668,1.4666666666666666,12.066666666666665,120148,0,2019-04-23 14:45:45,9.0,2065.0785069444446,58.18083893467797,0.33,258.1348133680556
19,19,540,128609455,maalaimalar,2010-04-01 16:54:35,136,170508,450.0,"Chennai, India",1.4666666666666666,1.1666666666666667,0.3,1.8,8.5,191728,0,2019-04-23 14:45:45,451.0,3308.9105324074076,57.942938656763175,1.12,7.353134516460906
20,20,570,134758540,timesofindia,2010-04-19 10:50:15,153,11751572,509.0,New Delhi,0.6,1.3666666666666667,0.4666666666666667,5.3,24.8,463028,0,2019-04-23 14:45:45,510.0,3291.163541666667,140.6882381072803,0.04,6.465940160445318
21,21,600,171825995,Andrew_Sesuraj,2010-07-28 07:35:08,87,624,451.0,"Chennai, India",0.06666666666666668,0.8666666666666667,0.1,0.03333333333333333,0.6333333333333333,515,0,2019-04-23 14:45:45,452.0,3191.2990393518517,0.1613762902346487,0.83,7.076051085037365
