,UserFollowersCount
0,62144
1,62144
2,62144
3,62144
4,62144
5,62144
6,62144
7,62144
8,62144
9,62144
10,62144
11,62144
12,62144
13,62144
14,62144
15,62144
16,62144
17,62144
18,62144
19,62144
20,62144
21,62144
22,62144
23,62144
24,62144
25,62144
26,62144
27,62144
28,62144
29,62144
30,109825
31,109825
32,109825
33,109825
34,109825
35,109825
36,109825
37,109825
38,109825
39,109825
40,109825
41,109825
42,109825
43,109825
44,109825
45,109825
46,109825
47,109825
48,109825
49,109825
50,109825
51,109825
52,109825
53,109825
54,109825
55,109825
56,109825
57,109825
58,109825
59,109825
60,237690
61,237690
62,237690
63,237690
64,237690
65,237690
66,237690
67,237690
68,237690
69,237690
70,237690
71,237690
72,237690
73,237690
74,237690
75,237690
76,237690
77,237690
78,237690
79,237690
80,237690
81,237690
82,237690
83,237690
84,237690
85,237690
86,237690
87,237690
88,237690
89,237690
90,7449
91,7449
92,7449
93,7449
94,7449
95,7449
96,7449
97,7449
98,7449
99,7449
100,7449
101,7449
102,7449
103,7449
104,7449
105,7449
106,7449
107,7449
108,7449
109,7449
110,7449
111,7449
112,7449
113,7449
114,7449
115,7449
116,7449
117,7449
118,7449
119,7449
120,1271
121,1271
122,1271
123,1271
124,1271
125,1271
126,1271
127,1271
128,1271
129,1271
130,1271
131,1271
132,1271
133,1271
134,1271
135,1271
136,1271
137,1271
138,1271
139,1271
140,1271
141,1271
142,1271
143,1271
144,1271
145,1271
146,1271
147,1271
148,1271
149,1271
150,989
151,989
152,989
153,989
154,989
155,989
156,989
157,989
158,989
159,989
160,989
161,989
162,989
163,989
164,989
165,989
166,989
167,989
168,989
169,989
170,989
171,989
172,989
173,989
174,989
175,989
176,989
177,989
178,989
179,989
180,108
181,108
182,108
183,108
184,108
185,108
186,108
187,108
188,108
189,108
190,108
191,108
192,108
193,108
194,108
195,108
196,108
197,108
198,108
199,108
200,108
201,108
202,108
203,108
204,108
205,108
206,108
207,108
208,108
209,108
210,6727
211,6727
212,6727
213,6727
214,6727
215,6727
216,6727
217,6727
218,6727
219,6727
220,6727
221,6727
222,6727
223,6727
224,6727
225,6727
226,6727
227,6727
228,6727
229,6727
230,6727
231,6727
232,6727
233,6727
234,6727
235,6727
236,6727
237,6727
238,6727
239,6727
240,1105348
241,1105348
242,1105348
243,1105348
244,1105348
245,1105348
246,1105348
247,1105348
248,1105348
249,1105348
250,1105348
251,1105348
252,1105348
253,1105348
254,1105348
255,1105348
256,1105348
257,1105348
258,1105348
259,1105348
260,1105348
261,1105348
262,1105348
263,1105348
264,1105348
265,1105348
266,1105348
267,1105348
268,1105348
269,1105348
270,2686
271,2686
272,2686
273,2686
274,2686
275,2686
276,2686
277,2686
278,2686
279,2686
280,2686
281,2686
282,2686
283,2686
284,2686
285,2686
286,2686
287,2686
288,2686
289,2686
290,2686
291,2686
292,2686
293,2686
294,2686
295,2686
296,2686
297,2686
298,2686
299,2686
300,535237
301,535237
302,535237
303,535237
304,535237
305,535237
306,535237
307,535237
308,535237
309,535237
310,535237
311,535237
312,535237
313,535237
314,535237
315,535237
316,535237
317,535237
318,535237
319,535237
320,535237
321,535237
322,535237
323,535237
324,535237
325,535237
326,535237
327,535237
328,535237
329,535237
330,2257
331,2257
332,2257
333,2257
334,2257
335,2257
336,2257
337,2257
338,2257
339,2257
340,2257
341,2257
342,2257
343,2257
344,2257
345,2257
346,2257
347,2257
348,2257
349,2257
350,2257
351,2257
352,2257
353,2257
354,2257
355,2257
356,2257
357,2257
358,2257
359,2257
360,520
361,520
362,520
363,520
364,520
365,520
366,520
367,520
368,520
369,520
370,520
371,520
372,520
373,520
374,520
375,520
376,520
377,520
378,520
379,520
380,520
381,520
382,520
383,520
384,520
385,520
386,520
387,520
388,520
389,520
390,63043
391,63043
392,63043
393,63043
394,63043
395,63043
396,63043
397,63043
398,63043
399,63043
400,63043
401,63043
402,63043
403,63043
404,63043
405,63043
406,63043
407,63043
408,63043
409,63043
410,63043
411,63043
412,63043
413,63043
414,63043
415,63043
416,63043
417,63043
418,63043
419,63043
420,1931329
421,1931329
422,1931329
423,1931329
424,1931329
425,1931329
426,1931329
427,1931329
428,1931329
429,1931329
430,1931329
431,1931329
432,1931329
433,1931329
434,1931329
435,1931329
436,1931329
437,1931329
438,1931329
439,1931329
440,1931329
441,1931329
442,1931329
443,1931329
444,1931329
445,1931329
446,1931329
447,1931329
448,1931329
449,1931329
450,131942
451,131942
452,131942
453,131942
454,131942
455,131942
456,131942
457,131942
458,131942
459,131942
460,131942
461,131942
462,131942
463,131942
464,131942
465,131942
466,131942
467,131942
468,131942
469,131942
470,131943
471,131943
472,131943
473,131943
474,131943
475,131943
476,131943
477,131943
478,131943
479,131943
480,1731
481,1731
482,1731
483,1731
484,1731
485,1731
486,1731
487,1731
488,1731
489,1731
490,1731
491,1731
492,1731
493,1731
494,1731
495,1731
496,1731
497,1731
498,1731
499,1731
500,1731
501,1731
502,1731
503,1731
504,1731
505,1731
506,1731
507,1731
508,1731
509,1731
510,366005
511,366005
512,366005
513,366005
514,366005
515,366005
516,366005
517,366005
518,366005
519,366005
520,366005
521,366005
522,366005
523,366005
524,366005
525,366005
526,366005
527,366005
528,366005
529,366005
530,366005
531,366005
532,366005
533,366005
534,366005
535,366005
536,366005
537,366005
538,366005
539,366005
540,170508
541,170508
542,170508
543,170508
544,170508
545,170508
546,170508
547,170508
548,170508
549,170508
550,170508
551,170508
552,170508
553,170508
554,170508
555,170508
556,170508
557,170508
558,170508
559,170508
560,170508
561,170508
562,170508
563,170508
564,170508
565,170508
566,170508
567,170508
568,170508
569,170508
570,11751572
571,11751572
572,11751572
573,11751572
574,11751572
575,11751572
576,11751572
577,11751572
578,11751572
579,11751572
580,11751572
581,11751572
582,11751572
583,11751572
584,11751572
585,11751572
586,11751572
587,11751572
588,11751572
589,11751572
590,11751572
591,11751572
592,11751572
593,11751572
594,11751572
595,11751572
596,11751572
597,11751572
598,11751572
599,11751572
600,624
601,624
602,624
603,624
604,624
605,624
606,624
607,624
608,624
609,624
610,624
611,624
612,624
613,624
614,624
615,624
616,624
617,624
618,624
619,624
620,624
621,624
622,624
623,624
624,624
625,624
626,624
627,624
628,624
629,624
630,1101
631,1101
632,1101
633,1101
634,1101
635,1101
636,1101
637,1101
638,1101
639,1101
640,1101
641,1101
642,1101
643,1101
644,1101
645,1101
646,1101
647,1101
648,1101
649,1101
650,1101
651,1101
652,1101
653,1101
654,1101
655,1101
656,1101
657,1101
658,1101
659,1101
660,32
661,32
662,32
663,32
664,32
665,32
666,32
667,32
668,32
669,32
670,32
671,32
672,32
673,32
674,32
675,32
676,32
677,32
678,32
679,32
680,32
681,32
682,32
683,32
684,32
685,32
686,227
687,227
688,227
689,227
690,227
691,227
692,227
693,227
694,227
695,227
696,227
697,227
698,227
699,227
700,227
701,227
702,227
703,227
704,227
705,227
706,227
707,227
708,227
709,227
710,227
711,227
712,227
713,227
714,227
715,227
716,456
717,456
718,456
719,456
720,456
721,456
722,456
723,456
724,456
725,456
726,456
727,456
728,456
729,456
730,456
731,456
732,456
733,456
734,456
735,456
736,456
737,456
738,456
739,456
740,456
741,456
742,456
743,456
744,456
745,456
746,112
747,148
748,148
749,387
750,387
751,387
752,387
753,387
754,387
755,387
756,387
757,387
758,387
759,387
760,387
761,387
762,387
763,387
764,387
765,387
766,387
767,387
768,387
769,387
770,387
771,387
772,387
773,387
774,387
775,387
776,387
777,387
778,387
779,91
780,91
781,91
782,91
783,91
784,91
785,91
786,591
787,591
788,591
789,591
790,591
791,591
792,591
793,591
794,591
795,591
796,591
797,591
798,591
799,591
800,591
801,591
802,591
803,591
804,591
805,591
806,591
807,591
808,591
809,591
810,591
811,591
812,591
813,591
814,591
815,591
816,217
817,217
818,217
819,302
820,302
821,302
822,302
823,302
824,302
825,302
826,302
827,302
828,302
829,302
830,302
831,302
832,302
833,302
834,302
835,302
836,302
837,302
838,302
839,302
840,302
841,302
842,302
843,302
844,302
845,302
846,302
847,176
848,176
849,176
850,176
851,176
852,176
853,140
854,140
855,140
856,140
857,140
858,140
859,140
860,140
861,140
862,140
863,125
864,411
865,411
866,411
867,411
868,411
869,411
870,411
871,411
872,411
873,411
874,411
875,411
876,245
877,245
878,245
879,245
880,245
881,245
882,245
883,245
884,245
885,245
886,245
887,245
888,1147
889,1147
890,1147
891,1147
892,1147
893,1147
894,1147
895,1147
896,1147
897,1147
898,1147
899,1147
900,1147
901,1147
902,1147
903,1147
904,1147
905,1147
906,1147
907,1147
908,1147
909,1147
910,1147
911,1147
912,1147
913,1147
914,1147
915,1147
916,1147
917,1147
918,432
919,432
920,432
921,432
922,432
923,432
924,432
925,432
926,432
927,432
928,432
929,432
930,432
931,432
932,432
933,432
934,432
935,432
936,432
937,432
938,432
939,432
940,432
941,432
942,432
943,432
944,432
945,432
946,432
947,432
948,1455
949,1455
950,1455
951,1455
952,1455
953,1455
954,1455
955,1455
956,1455
957,1455
958,1455
959,1455
960,1455
961,1455
962,1455
963,1455
964,1455
965,1455
966,1455
967,1455
968,1455
969,1455
970,1455
971,1455
972,1455
973,1455
974,1455
975,1455
976,1455
977,1455
978,53971
979,53971
980,53971
981,53971
982,53971
983,53971
984,53971
985,53971
986,53971
987,53971
988,53971
989,53971
990,53971
991,53971
992,53971
993,53971
994,53971
995,53971
996,53971
997,53971
998,53971
999,53971
1000,53971
1001,53971
1002,53971
1003,53971
1004,53971
1005,53971
1006,53971
1007,53971
1008,24
1009,24
1010,24
1011,24
1012,24
1013,24
1014,24
1015,4713
1016,4713
1017,4713
1018,4713
1019,4713
1020,4713
1021,4713
