,RetweetCount
0,185
1,22
2,6820
3,3051
4,9
5,33
6,4702
7,0
8,0
9,0
10,0
11,54
12,0
13,680
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1580
22,329
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,46
31,13
32,62
33,17823
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,15
69,3664
70,689
71,923
72,373
73,141
74,14811
75,589
76,1057
77,55
78,55
79,3054
80,2492
81,4445
82,382
83,6368
84,7306
85,2780
86,7
87,988
88,1637
89,7
90,24974
91,2615
92,1424
93,371
94,1531
95,909
96,1246
97,5868
98,22751
99,157443
100,160
101,10868
102,2008
103,2116
104,683
105,3923
106,0
107,1192
108,0
109,90896
110,1
111,172526
112,2455
113,7470
114,907
115,81001
116,83
117,0
118,98
119,128
120,58
121,0
122,0
123,121386
124,29474
125,14665
126,4
127,63478
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,488
139,0
140,107
141,0
142,0
143,0
144,0
145,215
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,487
159,18
160,293
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,36120
172,49
173,0
174,0
175,1
176,2284
177,33
178,0
179,1
180,1
181,0
182,3
183,0
184,4
185,0
186,0
187,0
188,4
189,87
190,0
191,0
192,297
193,1
194,0
195,1
196,0
197,2244
198,0
199,1
200,0
201,1
202,31
203,15
204,1
205,14
206,0
207,5
208,18
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,16
218,91576
219,14
220,33344
221,64790
222,56950
223,12
224,0
225,1
226,84314
227,1
228,5974
229,26732
230,65
231,19258
232,239
233,45
234,44
235,127
236,23762
237,1458
238,20
239,43
240,581
241,6188
242,58367
243,19
244,45
245,40635
246,57575
247,25
248,1
249,0
250,0
251,0
252,90805
253,1
254,0
